Senator Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AK Dan Sullivan,0,0,0,0,2,2,2,2,0,0,2,0,2,1,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
AK Lisa Murkowski,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0,1,2,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AL Doug Jones,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
AL Richard C. Shelby,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,1,0,0,0,0,2,2,0,2,0,0,0,2,2,1,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
AR John Boozman,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
AR Tom Cotton,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
AZ Kyrsten Sinema,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,1,1,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
AZ Martha McSally,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
CA Dianne Feinstein,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
CA Kamala D. Harris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,3,0,2,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,2,0,2,2,2,0,0,1,1,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
CO Cory Gardner,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
CO Michael F. Bennet,0,0,1,1,1,2,0,0,2,2,0,0,0,1,1,1,1,0,0,0,2,0,1,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
CT Christopher Murphy,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
CT Richard Blumenthal,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
DE Christopher A. Coons,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
DE Thomas R. Carper,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
FL Marco Rubio,0,0,0,0,2,2,0,2,1,1,1,1,1,2,0,0,0,0,2,2,2,0,1,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
FL Rick Scott,0,0,0,2,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
GA David Perdue,0,0,1,0,2,2,1,2,0,0,2,0,2,1,0,0,0,0,2,2,1,0,2,0,2,2,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2,2,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
GA Johnny Isakson,1,1,1,0,2,1,1,1,0,0,2,0,2,1,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,2,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
HI Brian Schatz,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,1,0,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
HI Mazie K. Hirono,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
IA Chuck Grassley,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
IA Joni Ernst,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
ID James E. Risch,0,0,0,0,2,2,2,2,0,0,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
ID Mike Crapo,0,0,0,0,2,2,2,2,0,0,2,2,2,1,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
IL Richard J. Durbin,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,1,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
IL Tammy Duckworth,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
IN Mike Braun,2,2,2,0,2,2,2,2,0,0,2,0,2,2,2,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,2,0,2,0,2,0,0,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
IN Todd Young,0,0,0,0,2,2,2,2,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KS Jerry Moran,0,0,0,0,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,2,2,1,1,0,1,0,0,0,0,2,0,0,2,0,0,0,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KS Pat Roberts,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
KY Mitch McConnell,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
KY Rand Paul,2,2,2,0,2,0,0,2,0,2,2,2,0,1,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,0,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Bill Cassidy,0,2,1,0,2,2,1,2,0,0,2,0,2,1,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LA John Kennedy,0,2,1,0,2,2,2,2,0,0,2,0,2,2,0,0,0,1,2,2,0,0,2,0,2,2,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,2,2,2,0,0,0,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MA Edward J. Markey,2,2,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,1,2,2,2,2,0,0,2,0,1,1,2,0,0,1,1,0,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,2,1
MA Elizabeth Warren,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,2,0,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MD Benjamin L. Cardin,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MD Chris Van Hollen,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
ME Angus S. King Jr.,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0
ME Susan M. Collins,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MI Debbie Stabenow,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
MI Gary C. Peters,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
MN Amy Klobuchar,1,1,1,1,0,0,1,1,2,2,0,0,0,1,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MN Tina Smith,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MO Josh Hawley,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MO Roy Blunt,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MS Cindy Hyde-Smith,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,1,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
